1,Bibliotheque
2,Εκδόσεις Καστανιώτη
3,Εκδόσεις Ι. Σιδέρης
4,Κλειδάριθμος
5,Κριτική
6,Άγκυρα
7,Συμμετρία
8,Σταμούλη Α.Ε.
9,Εκδόσεις Πατάκη
10,Ερευνητές
11,Μεταίχμιο
12,Γκιούρδας Β.
13,Ελληνικά Γράμματα
14,Ίων
15,Τζιόλα
16,Ζήτη
17,Μίνωας
18,Παπασωτηρίου
19,Γκιούρδας Μ.
20,Πανεπιστημιακές Εκδό
21,Δίαυλος
22,Bookstars - Γιωγγαρά
23,Διάπλαση
24,Εκδόσεις Νέων Τεχνολ
25,Άβακας
26,Ίαμβος
27,Εκδόσεις Βαρβαρήγου
28,Ε.Π.Μ.
29,"Παπαμάρκος, Νικόλαος"
30,Δίσιγμα
31,Αρναούτη
32,Utopia
33,Εκδόσεις Παπαζήση
34,Κέδρος
35,Νομική Βιβλιοθήκη
36,Οσελότος
37,Modern Times
38,Εκδόσεις Ξαρχάκος
39,Πάπυρος Εκδοτικός Ορ
40,Τόπος
41,Οξύ
42,Καρολίδης Δημήτριος
43,Εκδόσεις Da Vinci
44,University Studio Pr
45,Οδυσσέας
46,Anubis
47,Δημοσιογραφικός Οργα
48,Δρόμων
49,Μπένου Ε.
